canvas_id,course_name,type,title,date,link,is_completed,grade,summary,text_id
10500000016828270,Cmpsc221 Spring 2025,assignment,Programming Assignment 5 2D Drawing Application,2025-03-21T03:59:59Z,https://canvas.instructure.com/courses/10500000002379441/assignments/1050~16828270,,200.0,,
10500000016828271,Cmpsc221 Spring 2025,assignment,Programming Assignment 6 - Functional Programming,2025-04-04T03:59:59Z,https://canvas.instructure.com/courses/10500000002379441/assignments/1050~16828271,,100.0,,
10500000016828256,Cmpsc221 Spring 2025,assignment,Test 1 - Chapters 1-10,2025-02-24T04:59:00Z,https://canvas.instructure.com/courses/10500000002379441/assignments/1050~16828256,,63.0,,
10500000016828253,Cmpsc221 Spring 2025,assignment,"Test 2 - Chapters 12, 13, 16",2025-03-31T03:59:00Z,https://canvas.instructure.com/courses/10500000002379441/assignments/1050~16828253,,83.0,,
10500000016828257,Cmpsc221 Spring 2025,assignment,"Test 3 - Chapters 11, 24",2025-05-05T03:59:00Z,https://canvas.instructure.com/courses/10500000002379441/assignments/1050~16828257,,40.0,,
10500000016828262,Cmpsc221 Spring 2025,assignment,Course Scheduler Final Project Part 1,2025-04-23T03:59:59Z,https://canvas.instructure.com/courses/10500000002379441/assignments/1050~16828262,,100.0,,
10500000016828263,Cmpsc221 Spring 2025,assignment,Course Scheduler Final Project Part 2,2025-05-08T03:59:00Z,https://canvas.instructure.com/courses/10500000002379441/assignments/1050~16828263,,100.0,,
10500000016828265,Cmpsc221 Spring 2025,assignment,Honors Option Assignment Only,2025-05-08T03:59:00Z,https://canvas.instructure.com/courses/10500000002379441/assignments/1050~16828265,,0.0,,
10500000016828254,Cmpsc221 Spring 2025,assignment,Quiz: Evaluating AI-Generated Content,,https://canvas.instructure.com/courses/10500000002379441/assignments/1050~16828254,,3.0,,
10500000016828259,Cmpsc221 Spring 2025,assignment,Quiz: Technology and History of AI ,,https://canvas.instructure.com/courses/10500000002379441/assignments/1050~16828259,,3.0,,
10500000016828258,Cmpsc221 Spring 2025,assignment,EECS Academic Integrity Quiz,,https://canvas.instructure.com/courses/10500000002379441/assignments/1050~16828258,,16.0,,
10500000016919355,Cmpsc221 Spring 2025,assignment,EECS Academic Integrity Quiz,,https://canvas.instructure.com/courses/10500000002379441/assignments/1050~16919355,,20.0,,
10500000017337189,Cmpen Ee 362 Fall 2025,assignment,HW6,2025-12-04T04:59:59Z,https://canvas.instructure.com/courses/10500000002412508/assignments/1050~17337189,,15.0,,
10500000017337188,Cmpen Ee 362 Fall 2025,assignment,HW5,2025-11-13T04:59:59Z,https://canvas.instructure.com/courses/10500000002412508/assignments/1050~17337188,,15.0,,
10500000017337187,Cmpen Ee 362 Fall 2025,assignment,HW4,2025-10-30T03:59:59Z,https://canvas.instructure.com/courses/10500000002412508/assignments/1050~17337187,,15.0,,
10500000017337186,Cmpen Ee 362 Fall 2025,assignment,HW3,2025-10-11T03:59:59Z,https://canvas.instructure.com/courses/10500000002412508/assignments/1050~17337186,,15.0,,
10500000017337185,Cmpen Ee 362 Fall 2025,assignment,HW2,2025-09-25T03:59:59Z,https://canvas.instructure.com/courses/10500000002412508/assignments/1050~17337185,,15.0,,
10500000017337184,Cmpen Ee 362 Fall 2025,assignment,HW1,2025-09-11T03:59:59Z,https://canvas.instructure.com/courses/10500000002412508/assignments/1050~17337184,,15.0,,
10500000017337191,Cmpen Ee 362 Fall 2025,assignment,Midterm Exam,,https://canvas.instructure.com/courses/10500000002412508/assignments/1050~17337191,,30.0,,
10500000017337183,Cmpen Ee 362 Fall 2025,assignment,Final Exam,,https://canvas.instructure.com/courses/10500000002412508/assignments/1050~17337183,,40.0,,
10500000017337170,Cmpen Ee 362 Fall 2025,assignment,Quiz12,2025-12-13T04:59:00Z,https://canvas.instructure.com/courses/10500000002412508/assignments/1050~17337170,,1.5,,
10500000017337165,Cmpen Ee 362 Fall 2025,assignment,Quiz11,2025-12-06T04:59:00Z,https://canvas.instructure.com/courses/10500000002412508/assignments/1050~17337165,,1.5,,
10500000017337179,Cmpen Ee 362 Fall 2025,assignment,Quiz10,2025-11-20T04:59:00Z,https://canvas.instructure.com/courses/10500000002412508/assignments/1050~17337179,,1.5,,
10500000017337163,Cmpen Ee 362 Fall 2025,assignment,Quiz9,2025-11-11T04:59:00Z,https://canvas.instructure.com/courses/10500000002412508/assignments/1050~17337163,,1.5,,
10500000017337181,Cmpen Ee 362 Fall 2025,assignment,Quiz8,2025-10-28T03:59:00Z,https://canvas.instructure.com/courses/10500000002412508/assignments/1050~17337181,,1.5,,
10500000017337178,Cmpen Ee 362 Fall 2025,assignment,Quiz7,2025-10-23T03:59:59Z,https://canvas.instructure.com/courses/10500000002412508/assignments/1050~17337178,,1.5,,
10500000017337172,Cmpen Ee 362 Fall 2025,assignment,Quiz6,2025-10-09T03:59:00Z,https://canvas.instructure.com/courses/10500000002412508/assignments/1050~17337172,,1.5,,
10500000017337166,Cmpen Ee 362 Fall 2025,assignment,Quiz5,2025-09-30T03:59:00Z,https://canvas.instructure.com/courses/10500000002412508/assignments/1050~17337166,,1.5,,
10500000017337169,Cmpen Ee 362 Fall 2025,assignment,Quiz4,2025-09-25T03:59:00Z,https://canvas.instructure.com/courses/10500000002412508/assignments/1050~17337169,,1.5,,
10500000017337175,Cmpen Ee 362 Fall 2025,assignment,Quiz3,2025-09-18T03:59:00Z,https://canvas.instructure.com/courses/10500000002412508/assignments/1050~17337175,,1.5,,
10500000017337167,Cmpen Ee 362 Fall 2025,assignment, Quiz2,2025-09-06T03:59:00Z,https://canvas.instructure.com/courses/10500000002412508/assignments/1050~17337167,,1.5,,
